symbol,name,exchange,yf_symbol
08ABB,Nippon India Mutual Fund,BSE,08ABB.BO
08ADD,Nippon India Mutual Fund,BSE,08ADD.BO
08ADR,Nippon India Mutual Fund,BSE,08ADR.BO
08AGG,Nippon India Mutual Fund,BSE,08AGG.BO
08AMD,Nippon India Mutual Fund,BSE,08AMD.BO
08AMR,Nippon India Mutual Fund,BSE,08AMR.BO
08AQD,Nippon India Mutual Fund,BSE,08AQD.BO
08AQR,Nippon India Mutual Fund,BSE,08AQR.BO
08BPB,Nippon India Mutual Fund,BSE,08BPB.BO
08DPD,Nippon India Mutual Fund,BSE,08DPD.BO
08DPR,Nippon India Mutual Fund,BSE,08DPR.BO
08GPG,Nippon India Mutual Fund,BSE,08GPG.BO
08MPD,Nippon India Mutual Fund,BSE,08MPD.BO
08MPR,Nippon India Mutual Fund,BSE,08MPR.BO
08QPD,Nippon India Mutual Fund,BSE,08QPD.BO
08QPR,Nippon India Mutual Fund,BSE,08QPR.BO
11ADD,Nippon India Mutual Fund,BSE,11ADD.BO
11ADR,Nippon India Mutual Fund,BSE,11ADR.BO
11AGG,Nippon India Mutual Fund,BSE,11AGG.BO
11AMD,Nippon India Mutual Fund,BSE,11AMD.BO
11AMR,Nippon India Mutual Fund,BSE,11AMR.BO
11AQD,Nippon India Mutual Fund,BSE,11AQD.BO
11AQR,Nippon India Mutual Fund,BSE,11AQR.BO
11DPD,Nippon India Mutual Fund,BSE,11DPD.BO
11DPR,Nippon India Mutual Fund,BSE,11DPR.BO
11GPG,Nippon India Mutual Fund,BSE,11GPG.BO
11MPD,Nippon India Mutual Fund,BSE,11MPD.BO
11MPR,Nippon India Mutual Fund,BSE,11MPR.BO
11QPD,Nippon India Mutual Fund,BSE,11QPD.BO
11QPR,Nippon India Mutual Fund,BSE,11QPR.BO
1STCUS,First Custodian Fund (India) Ltd.,BSE,1STCUS.BO
20MICRONS,20 Microns Limited,NSE+BSE,20MICRONS.NS
21STCENMGM,21st Century Management Services Limited,NSE+BSE,21STCENMGM.NS
360ONE,360 ONE WAM LIMITED,NSE+BSE,360ONE.NS
3BBLACKBIO,3B Blackbio Dx Limited,NSE+BSE,3BBLACKBIO.NS
3BFILMS,3B FILMS LIMITED,BSE,3BFILMS.BO
3CIT,3C IT Solutions and Telecoms (India) Limited,BSE,3CIT.BO
3IINFOLTD,3i Infotech Limited,NSE+BSE,3IINFOLTD.NS
3MINDIA,3M India Limited,NSE+BSE,3MINDIA.NS
3PLAND,3P Land Holdings Limited,NSE+BSE,3PLAND.NS
505196,TIL Ltd.,BSE,505196.BO
5PAISA,5Paisa Capital Limited,NSE+BSE,5PAISA.NS
63MOONS,63 moons technologies limited,NSE+BSE,63MOONS.NS
7NR,7NR Retail Limited,BSE,7NR.BO
7SEASL,7SEAS ENTERTAINMENT LIMITED,BSE,7SEASL.BO
7TEC,Saven Technologies Ltd.,BSE,7TEC.BO
A1L,A-1 LIMITED,BSE,A1L.BO
A2ZINFRA,A2Z Infra Engineering Limited,NSE+BSE,A2ZINFRA.NS
AAATECH,AAA Technologies Limited,NSE+BSE,AAATECH.NS
AADHARHFC,Aadhar Housing Finance Limited,NSE+BSE,AADHARHFC.NS
AADIIND,Aadi Industries Ltd,BSE,AADIIND.BO
AAIL,Akar Auto Industries Limited,BSE,AAIL.BO
AAKASH,Aakash Exploration Services Limited,NSE,AAKASH.NS
AAPLUSTRAD,AA Plus Tradelink Limited,BSE,AAPLUSTRAD.BO
AARCON,AARCON FACILITIES LIMITED,BSE,AARCON.BO
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,NSE+BSE,AAREYDRUGS.NS
AARNAV,Aarnav Fashions Limited,NSE+BSE,AARNAV.NS
AARON,Aaron Industries Limited,NSE,AARON.NS
AARTECH,Aartech Solonics Limited,NSE+BSE,AARTECH.NS
AARTIDRUGS,Aarti Drugs Limited,NSE+BSE,AARTIDRUGS.NS
AARTIIND,Aarti Industries Limited,NSE+BSE,AARTIIND.NS
AARTIPHARM,Aarti Pharmalabs Limited,NSE+BSE,AARTIPHARM.NS
AARTISURF,Aarti Surfactants Limited,NSE+BSE,AARTISURF.NS
AARVI,Aarvi Encon Limited,NSE,AARVI.NS
AASHKA,Aashka Hospitals Limited,BSE,AASHKA.BO
AASTAFIN,Aastamangalam Finance Limited,BSE,AASTAFIN.BO
AAVAS,Aavas Financiers Limited,NSE+BSE,AAVAS.NS
AAYUSH,AAYUSH WELLNESS LIMITED,BSE,AAYUSH.BO
